unit,guest,date,rating,source,text
onebr,Andre.,2026-03,5,airbnb,"Stayed for a night after it snowed to do a hike the next morning. The place was very cozy and in a great location that felt very homey, and with a great view of the surrounding mountains :) Would recommend!"
onebr,Clayton.,2026-03,5,airbnb,"fantastic place and location! From the moment I arrived to the time I left I felt very much at home.  The home was surprisingly quiet for the four nights that I was there--I hardly heard a peep from the owners upstairs. Super comfortable bed, I slept better there than I have in any other Airbnb."
onebr,Vikram.,2026-02,5,airbnb,"Had a great time here. House was spotless, more spacious than the pictures portray, free of clutter, and the place looked like new. Liz was very friendly and helpful. They had set up the air mattress and put sheets etc on it, so we didn't have to worry about it. Beautiful views. Highly recommend."
onebr,Shweta.,2026-01,5,airbnb,"Liz's place was fabulous. It is very easy to find and the check in / check out was an easy process. The space was exactly as seen in the pictures, and such a warm space! I would absolutely recommend it. It is very close to the main street (Front St) in Leavenworth, as well!"
onebr,Taylor.,2026-01,5,airbnb,"Liz’s place was so gorgeous, so clean and super cozy! She went above and beyond to set up an air mattress for my 5 year old and a pack n’ play for my 7 month old before we arrived. My little one ended up getting sick and we needed to leave really early in the morning to bring him to the doctor and Liz was completely kind, empathetic and understanding. 10/10! Thank you again for everything! 💕"
onebr,Mia.,2025-11,5,airbnb,"Liz was extremely helpful we had a great time at her place we just had to trust the provided instructions to get to the entrance and we were all good. Area flow was great bathroom was spotless, bedroom was clean and carpets were clean. No issues with heating or water, provided plates and utensils were clean."
onebr,Alice.,2026-02,5,airbnb,"This place was lovely, very clean, and spacious. All of the furnishings and linens were very good quality and new looking. The bed was very comfortable and the bathroom was impeccably clean with lots of space, great lighting, and toiletries. The little coffee station was stocked and the mini-fridge was handy so we could keep some helathy food, snacks, and drinks so we didnt have to eat out for every meal. Liz was helpful and welcoming in her communication. It is located conveniently close to the main part of Leavenworth, while being far enough away from the action for a peaceful retreat. We would definately stay there again during another visit to the little Bavarian town."
onebr,Lisa.,2025-11,5,airbnb,"This place was so great!! Close enough to town to be really convenient but not so close to be in the crowds. Liz was amazing! She got ahold of me ahead of time to let me know there was a problem, worked hard to fix it, and even made us banana bread!! We loved our stay!"
onebr,Sharie Lee.,2026-02,5,airbnb,"Everything was great. We have visited Leavenworth perhaps 10 times already and this rental was a favorite. It is out of the way of the hustle and bustle of town just by 1 mile, and it is in a quiet, safe residential area. The house itself is a main house with a few rentals that are a part of the home. Our rental was downstairs. The unit was homey and had some nice high end touches (even the toaster and the tea pot were lovely), the turkish waffle towels dry you off quickly, the snacks were yummy and appreciated, and the TV was super cool for night time chilling out. The view from the house is really incredible. We slept well in a comfortable bed. Liz was very speedy and kind in her communication. We would love to come back and know that we have found a great place to stay after all of these years of searching for just the right spot."
onebr,Joy.,2026-02,5,airbnb,"This is a gem in Leavenworth. Away from the busy town, but close enough! Nice Mountain View’s. Roomy and comfy. Nespresso included for a European feel!"
onebr,Kristin.,2025-10,5,airbnb,"Absolutely Perfect Stay in Leavenworth!This apartment was beyond wonderful — spotless, beautifully maintained, and filled with the most gorgeous natural light. Waking up to the sunrise right from bed was magical — the way the morning light poured in made it feel like a cozy mountain retreat straight out of a postcard.Everything was so clean and thoughtfully arranged, from the sparkling kitchenette to the fresh linens. The location was peaceful yet close to town, and the atmosphere felt both relaxing and elevated.We couldn’t have asked for a better home base for our Leavenworth getaway. Highly recommend to anyone looking for comfort, style, and those unforgettable Cascade sunrises!"
onebr,James.,2025-08,5,airbnb,"Liz’s place was well beyond what we expected! Not only did she pop up an air mattress for the kids, but she left out a plate of fresh veggies and the most delicious banana bread that just made it feel so intimate and inviting for our family. We will certainly be staying here again next time we’re in town, and not just for the banana bread 😉"
onebr,Deena.,2025-08,5,airbnb,"We arrived after midnight and Liz graciously left the unit unlocked so that we didn’t struggle with gaining entry. Though our stay was extremely short, Liz was very communicative, and the space was clean, cozy, and we enjoyed the bed linens. She thoughtfully left snacks in the fridge as well. Would recommend this spot!"
onebr,Myleene.,2025-07,5,airbnb,"Liz’s suite was the perfect home base after a long day hiking through the Enchantments. Spacious, cozy, and impeccably clean, it offered everything we needed to rest and recharge. The space was easy to find, and we really appreciated the thoughtful touches—snacks, fresh coffee, and filtered water, which made our early morning start."
onebr,Nathan.,2026-01,5,airbnb,"Incredibly clean, homey, comfortable, communicative host, would come again"
onebr,Vanessa.,2025-10,5,airbnb,"The place was nice and clean, and bigger than I expected. It was close to Leavenworth so super easy to get around."
onebr,Shelby.,2025-10,5,airbnb,Great stay at Liz’s place.  Host was super responsive and helpful.  The unit was exactly as described.  It was spotlessly clean.  We would stay again.
onebr,Amanda.,2025-08,5,airbnb,"The best stay! From the location, the space, the extra touches everything was perfect. We had our 16 month old daughter with us and Liz added some toys and things for her. All the snacks and homemade treats for us! Would stay again."
onebr,Janae.,2025-08,5,airbnb,"Loved staying here! It was a beautiful basement apartment with a lot of space and nice big bathroom. The breakfast provided was delicious, with lots of options and added touches.  Liz was very quick to respond and gave me great recommendations when I told her our plans. It was a little bit noisy because of people living upstairs, but the owner is open and upfront about it in the listing, so nothing I wasn’t expecting. It was a great price and a great place to stay!"
onebr,Rachel.,2025-08,5,airbnb,"Liz’s place was absolutely perfect for me and two friends in town to hike the Enchantments. It was spacious, clean and had lots of natural light. We all thought the bedroom was especially peaceful, and even the air mattress was exceedingly comfortable! It wasn’t a problem to not have a full kitchenette - the kitchen appliances/items provided were thoughtful and functional. Also, Liz recommended some nearby bouldering spots to us and let us use their crash pads. Would love to stay here again!"
onebr,Stacy.,2025-07,4,airbnb,"This is a great spot at a great rate for a quick overnight. In some trees & close to town. The Nespresso machine was a wonderful perk... bring your own cream and sweetner. This is in the basement of the main house and noise from above should be expected. Don't let the conversations, walking, & children crying at 2 AM deter you from the great price and mountain views. They kindly provide earplugs and a white noise machine as well. Kitchenette with water pot was nice to have."
onebr,Caroline.,2025-07,5,airbnb,"My friend and I had the best experience staying at Liz’s place! Everything about the space is thoughtfully designed. The bed was very comfy. The space was squeaky clean. The breakfast nook had all the things we could need. We loved the Nespresso coffee in the mornings! The spacious bathroom was amazing too. The location is great of course being so close to town and beautiful hikes. I have stayed in a hotel in Leavenworth before, but I would choose Liz’s place over a hotel because of how private, clean, and beautiful the views are. 10/10 would stay again!Lee"
onebr,Ann.,2025-06,5,airbnb,"What a wonderful experience for our small family. The bedroom was big enough for all of us to sleep with an additional blow up bed and a pack n play, which was provided/could have been provided. The small snacks provided was pleasant as well."
onebr,Mariana.,2025-06,5,airbnb,We had a great time in this peaceful and beautiful apartment! It feels so quiet and relaxing while still being super close to the walkable part of downtown Leavenworth. It was perfect for our weekend stay.
onebr,Angela.,2025-05,5,airbnb,"What a wonderful stay.  So quiet & peaceful.  Room darkening shades in bedroom too.  Cozy & Fresh.  Thank you Liz!!!  Place was welcoming to come to after a full afternoon of strolling town.  Instant hot shower, a fam movie and it was time for a good nights rest.  Thank you again."
onebr,Jack.,2025-12,5,airbnb,Liz was super sweet and accommodating.   We hope to stay again!
onebr,Shyleen.,2025-12,5,airbnb,We have an amazing stay. Highly recommend to anyone looking for a cozy and clean place to stay!
onebr,Gina.,2025-08,5,airbnb,"Beautifully clean, stunning views, plenty of space for four (1 adult and three teenagers).  We used the air mattress (which the kids said was super comfy).  We appreciated the light snacks that were in the kitchenette.  Bathroom was airy and spotless.  Sheets were soft and fresh.  Bed was on the softer side (memory foam?) (just an observation, not a complaint).  Shades provided nice black-out at night.  Nice fresh ac was already on when we arrived and so appreciated on the hot summer day.  Liz is super responsive and gave me some recommendations to find a few items I needed for our visit.  Little touches like to-go cups for coffee and device chargers were super handy.  Would totally stay here again.  10/10!"
onebr,Brian.,2025-07,5,airbnb,"A hidden gem in Leavenworth, just minutes from downtown but far enough to feel secluded and private. We had a relaxing weekend at Liz’s and hope to be back again soon, this was the perfect location for us and couldn’t recommend it enough if you’re planning a visit to Leavenworth."
onebr,Zoe.,2025-09,5,airbnb,"Such a lovely and spotless place, and absolutely incredible host—super kind, responsive, and thoughtful! The four of us felt right at home at Liz’s!"
onebr,Samantha.,2025-09,5,airbnb,"We had a wonderful stay! We felt right at home with the comfortable bed, homemade bread, snacks and coffee provided! We are so grateful!"
onebr,Gordon.,2025-08,5,airbnb,"This was the perfect spot for us as we made a stop in our road trip. It’s clean and cozy, just what we were looking for!"
onebr,Julia.,2025-08,5,airbnb,"Lovely stay! Kind host, attentive! The space was clean and exactly as described, which was reassuring and comfortable to me. We were a family, so the family sounds upstairs did not bother us at all, we appreciated their grace with our kids as well. This stay is great with kids! We utilized the inflatable bed - it was surprisingly very comfortable! My only downside was the value- the stay has no amenities and most all other places we considered for a trip have amenities/kitchens/etc for the same price. For only a little more, many places have access to hot tubs, pools, and other amenities. They also accommodated a very last minute booking, which I appreciated. Overall, thankful for clean sheets, a clean new feel to the home, and everything going as we expected and hoped!"
onebr,Astha.,2025-08,5,airbnb,Really liked the place! It was clean and the view was beautiful. The space was bigger than we were expecting which was wonderful.
onebr,Kayla.,2025-07,5,airbnb,"Loved our stay here. Very clean & comfy, beautiful mountain views and just a short drive to downtown"
onebr,Marie.,2025-07,5,airbnb,"Perfect stay for us prior to heading out on a trail head early in the morning. Clean, comfy bed, great snack + coffee bar. Will be back if in Leavenworth again!"
onebr,Victor.,2026-03,5,airbnb,"Very awesome!AlexandraCoeur d'Alene, Idaho"
onebr,?.,2025-10,5,airbnb,Cute little place to stay and close to some trails and Leavenworth!
onebr,Suzanne.,2025-07,5,airbnb,"Very clean, excellent location, and great communication from host!"
onebr,Tamara.,2025-07,5,airbnb,We loved how close the place was to downtown! Nice and clean and very comfortable!
onebr,Katherine.,2025-06,5,airbnb,This is a gem in Leavenworth. Close to town and perfect for us and our infant!
onebr,Jay.,2025-05,5,airbnb,We wish we could have stayed here longer! The apartment was beautiful and easily one of the nicest rentals we have ever stayed at.
onebr,Isaac.,2025-12,5,airbnb,"Great place for the night!Margot7 years on AirbnbRating, 5 stars,  · July 2025A delightful place to stay, very peaceful and comfortable"
onebr,Katie.,2025-06,5,airbnb,Liz was great at communicating and accommodating our needs.
onebr,Natalia.,2025-08,4,airbnb,Great place!
